Date, Close/Last, Volume, Open, High, Low
01/29/2021, 38.09, 44964, 38.85, 38.85, 38.09
01/28/2021, 39.12, 15213, 39.09, 39.42, 38.97
01/27/2021, 38.97, 32451, 39.04, 39.23, 38.92
01/26/2021, 39.25, 1073704, 39.3, 39.6, 39.25
01/25/2021, 39.37, 24997, 39.15, 39.38, 38.921
01/22/2021, 39.41, 28300, 39.63, 39.63, 39.274
01/21/2021, 40.02, 22475, 40.21, 40.21, 39.8
01/20/2021, 40.16, 33299, 39.95, 40.19, 39.81
01/19/2021, 39.86, 32023, 40, 40.045, 39.8
01/15/2021, 39.83, 60806, 39.95, 39.96, 39.6
01/14/2021, 40.24, 25601, 40.2, 40.38, 40.1501
01/13/2021, 39.99, 20195, 39.98, 40.11, 39.93
01/12/2021, 40.1, 202147, 39.69, 40.11, 39.57
01/11/2021, 39.67, 31280, 39.23, 39.73, 39.23
01/08/2021, 39.4394, 26566, 39.63, 39.63, 39.09
01/07/2021, 39.4611, 22185, 39.49, 39.6765, 39.305
01/06/2021, 39.23, 46252, 38.57, 39.335, 38.32
01/05/2021, 38.21, 23261, 37.78, 38.313, 37.78
01/04/2021, 37.78, 152497, 38.22, 38.36, 37.47
12/31/2020, 38.2219, 39424, 38, 38.2333, 37.883
12/30/2020, 37.9842, 17338, 37.98, 38.03, 37.9
12/29/2020, 37.8, 20306, 37.94, 38.03, 37.7
12/28/2020, 37.85, 22167, 38.23, 38.23, 37.825
12/24/2020, 37.8, 8431, 38.01, 38.01, 37.6444
12/23/2020, 37.7634, 15558, 37.7, 37.859, 37.7
12/22/2020, 37.51, 20209, 38.25, 38.25, 37.5021
12/21/2020, 38.12, 35255, 38.02, 38.12, 37.4101
12/18/2020, 38.28, 11513, 38.22, 38.31, 38.111
12/17/2020, 38.28, 42219, 38.26, 38.4, 38.24
12/16/2020, 38.2761, 11909, 38.65, 38.65, 38.1692
12/15/2020, 38.34, 16627, 38.41, 38.492, 38.0301
12/14/2020, 38.02, 19701, 38.79, 38.79, 38.02
12/11/2020, 38.44, 31428, 38.0925, 38.44, 38.0925
12/10/2020, 38.53, 17057, 38.355, 38.53, 38.285
12/09/2020, 38.48, 19787, 38.57, 38.8575, 38.3683
12/08/2020, 38.64, 54058, 38.22, 38.64, 38.22
12/07/2020, 38.22, 37875, 39, 39, 38.2
12/04/2020, 38.7235, 8150, 38.3774, 38.749, 38.3774
12/03/2020, 38.28, 18714, 38.0165, 38.3399, 37.9873
12/02/2020, 38.18, 25619, 37.7, 38.18, 37.63
12/01/2020, 37.74, 15108, 37.68, 38, 37.606
11/30/2020, 37.35, 15980, 37.95, 37.95, 37.29
11/27/2020, 37.9507, 7484, 38.26, 38.26, 37.8484
11/25/2020, 38.07, 27964, 38.01, 38.268, 37.88
11/24/2020, 38.26, 27618, 38, 38.34, 37.79
11/23/2020, 37.61, 16974, 37.19, 37.61, 37.1138
11/20/2020, 36.9, 23478, 37.01, 37.05, 36.7947
11/19/2020, 37.1, 22463, 37.07, 37.1, 36.4651
11/18/2020, 37.1593, 29723, 37.73, 37.73, 36.9854
11/17/2020, 37.5309, 49754, 37.54, 37.65, 37.1741
11/16/2020, 38.14, 200916, 37.88, 38.16, 37.65
11/13/2020, 37.129, 911596, 36.53, 37.17, 36.53
11/12/2020, 36.4895, 36171, 36.71, 36.785, 36.185
11/11/2020, 36.94, 16482, 37.35, 37.35, 36.75
11/10/2020, 37.1649, 20153, 36.55, 37.17, 36.31
11/09/2020, 36.4809, 34207, 37.71, 37.71, 36.3176
11/06/2020, 34.88, 10976, 34.84, 34.9597, 34.71
11/05/2020, 34.8739, 12584, 34.5, 35.13, 34.5
11/04/2020, 34.3043, 23938, 34.47, 34.87, 34.1675
11/03/2020, 34.6, 15276, 34.49, 34.78, 34.33
11/02/2020, 34.02, 10300, 33.58, 34.02, 33.4491
10/30/2020, 33.28, 25848, 33.2, 33.28, 32.72
10/29/2020, 33.2152, 22568, 32.87, 33.4, 32.52
10/28/2020, 32.8703, 30573, 33.22, 33.37, 32.83
10/27/2020, 33.87, 25833, 34.28, 34.28, 33.86
10/26/2020, 34.3054, 24347, 34.77, 34.77, 34.05
10/23/2020, 35.0812, 11157, 35.35, 35.35, 34.99
10/22/2020, 35.2437, 5039, 34.98, 35.2614, 34.82
10/21/2020, 34.9, 4467, 34.97, 35.08, 34.9
10/20/2020, 35.03, 12108, 35.08, 35.32, 35.03
10/19/2020, 34.9644, 4346, 35.57, 35.5718, 34.9644
10/16/2020, 35.45, 10444, 35.47, 35.65, 35.3601
10/15/2020, 35.3347, 10677, 34.99, 35.4192, 34.91
10/14/2020, 35.11, 19491, 35.06, 35.4, 35.06
10/13/2020, 35.2826, 7258, 35.48, 35.53, 35.26
10/12/2020, 35.73, 9679, 35.5, 35.74, 35.5
10/09/2020, 35.373, 16862, 35.6, 35.64, 35.32
10/08/2020, 35.4056, 15094, 35.16, 35.5, 35.16
10/07/2020, 34.96, 6853, 34.59, 35.0627, 34.59
10/06/2020, 34.5057, 15372, 34.89, 35.1799, 34.5
10/05/2020, 34.7902, 9423, 34.5, 34.7902, 34.5
10/02/2020, 34.292, 11180, 33.8, 34.38, 33.7309
10/01/2020, 34.27, 10294, 34.45, 34.45, 34.09
09/30/2020, 34.4536, 12750, 34.21, 34.605, 34.21
09/29/2020, 34.0994, 39876, 34.37, 34.37, 33.86
09/28/2020, 34.42, 13595, 34.24, 34.62, 34.24
09/25/2020, 33.7805, 10029, 33.41, 33.856, 33.3966
09/24/2020, 33.5, 27525, 33.46, 33.8884, 33.1986
09/23/2020, 33.61, 17941, 34.49, 34.49, 33.5487
09/22/2020, 34.2335, 7357, 34.06, 34.39, 34
09/21/2020, 34.19, 28057, 34.52, 35.1, 33.81
09/18/2020, 35.4837, 11173, 35.595, 35.75, 35.425
09/17/2020, 35.7191, 9771, 35.35, 35.7191, 35.198
09/16/2020, 35.67, 7511, 35.7, 35.9175, 35.6257
09/15/2020, 35.52, 27049, 35.73, 35.8799, 35.51
09/14/2020, 35.6223, 9930, 35.56, 35.6799, 35.56
09/11/2020, 35.3353, 108722, 35.12, 35.4129, 35.1067
09/10/2020, 34.88, 12414, 35.54, 35.5434, 34.88
09/09/2020, 35.56, 12785, 35.3139, 35.79, 35.2979
09/08/2020, 35.06, 31326, 35.46, 35.46, 34.98
