Date, Close/Last, Volume, Open, High, Low
01/29/2021, 314.56, 55259020, 319.58, 320.7193, 312.76
01/28/2021, 321.32, 42836320, 320.67, 326.42, 320.03
01/27/2021, 319.43, 55263990, 326.26, 326.27, 317.36
01/26/2021, 328.59, 25498110, 328.85, 329.76, 327.22
01/25/2021, 328.11, 39080640, 328.91, 330.32, 321.41
01/22/2021, 325.42, 21609440, 325.29, 326.46, 324.71
01/21/2021, 326.36, 25316940, 325.15, 327.13, 323.73
01/20/2021, 323.77, 30728100, 320.14, 324.74, 316.509
01/19/2021, 316.41, 24537050, 314.25, 316.93, 313.12
01/15/2021, 311.86, 35118720, 314.13, 315.12, 310.58
01/14/2021, 314.35, 23500130, 316.5, 317.53, 313.8616
01/13/2021, 316.04, 22898420, 314.19, 316.86, 313.57
01/12/2021, 313.92, 29266760, 314.46, 315.58, 311.2
01/11/2021, 314.42, 32869100, 315.98, 317.19, 313.75
01/08/2021, 319.03, 33955850, 317.34, 319.39, 315.0814
01/07/2021, 314.98, 30394830, 310.28, 315.84, 310.25
01/06/2021, 307.54, 52809620, 307, 311.88, 305.98
01/05/2021, 311.86, 29323410, 308.29, 312.14, 308.29
01/04/2021, 309.31, 45305900, 315.11, 315.29, 305.18
12/31/2020, 313.74, 21611410, 312.87, 314.24, 311.76
12/30/2020, 312.97, 18138070, 314.16, 314.49, 312.33
12/29/2020, 312.96, 25871930, 314.05, 314.685, 312.03
12/28/2020, 312.68, 22497750, 312.25, 313.17, 310.36
12/24/2020, 309.56, 16785000, 308.47, 310.02, 308.39
12/23/2020, 308.2, 21201280, 309.81, 310.18, 308.035
12/22/2020, 309.76, 26378340, 309.85, 310.7105, 306.845
12/21/2020, 308.92, 37095480, 306.46, 309.47, 303.6
12/18/2020, 310.06, 41173390, 311.66, 311.98, 307.61
12/17/2020, 311, 23730520, 310.63, 311.24, 309.39
12/16/2020, 308.98, 25461890, 307.7, 309.785, 306.621
12/15/2020, 307.29, 25790460, 306.37, 307.29, 304.11
12/14/2020, 304.04, 28804830, 303.08, 306.05, 303.01
12/11/2020, 301.85, 26760420, 300.81, 301.98, 298.47
12/10/2020, 302.52, 27519540, 299.21, 303.68, 298.09
12/09/2020, 301.31, 48839310, 308.07, 308.36, 300.21
12/08/2020, 308.29, 18341460, 306.76, 308.6, 304.95
12/07/2020, 307.25, 20850970, 305.71, 307.63, 305.52
12/04/2020, 305.52, 19332080, 304.33, 305.67, 303.63
12/03/2020, 304.28, 22828730, 304.07, 305.88, 303.531
12/02/2020, 303.85, 23620000, 302.22, 304.195, 300.35
12/01/2020, 303.46, 27642640, 301.87, 305.14, 300.83
11/30/2020, 299.62, 27836230, 299.3, 299.97, 294.78
11/27/2020, 299.01, 17163120, 298.29, 300.17, 297.9
11/25/2020, 296.28, 23326830, 295.44, 296.94, 294.59
11/24/2020, 294.47, 24516790, 291.49, 294.98, 289.63
11/23/2020, 290.39, 26875590, 291.41, 292.75, 288.07
11/20/2020, 290.38, 25907310, 292.3, 293.065, 290.29
11/19/2020, 292.38, 22718420, 289.48, 292.7, 288.85
11/18/2020, 290.11, 28069620, 291.7, 293.37, 290.02
11/17/2020, 292.27, 21843460, 293.4, 293.74, 291.61
11/16/2020, 293.2, 30168360, 290.68, 293.51, 289.99
11/13/2020, 290.93, 24880580, 290.01, 291.57, 287.8701
11/12/2020, 288.4, 34516830, 290.72, 292.074, 287.25
11/11/2020, 289.76, 36102930, 285.92, 290.25, 283.38
11/10/2020, 283.42, 69024880, 285.26, 286.6599, 280.62
11/09/2020, 288.59, 86537070, 297.31, 299.14, 288.12
11/06/2020, 294.61, 40959760, 293.58, 295.36, 289.83
11/05/2020, 294.39, 52054190, 293.41, 295.39, 292
11/04/2020, 286.91, 75728210, 283.56, 288.77, 281.87
11/03/2020, 274.65, 43604150, 271.86, 276.82, 270.84
11/02/2020, 269.98, 39987410, 271.73, 273.52, 266.97
10/30/2020, 269.38, 65935890, 274.375, 275.24, 267.07
10/29/2020, 276.39, 43246300, 273.04, 279.49, 272.52
10/28/2020, 271.64, 53413520, 278.13, 278.6401, 271.38
10/27/2020, 282.66, 30559120, 281.42, 283.505, 280.2
10/26/2020, 280.47, 38421090, 282.32, 285.3, 276.76
10/23/2020, 284.74, 24658540, 284.79, 284.91, 281.7818
10/22/2020, 284.18, 32196160, 285.05, 285.98, 280.82
10/21/2020, 284.19, 29306140, 284.67, 287.32, 283.69
10/20/2020, 284.41, 32195360, 284.56, 287.62, 282.95
10/19/2020, 283.8, 36756750, 290.49, 291.48, 282.79
10/16/2020, 288.51, 40570700, 291.8, 293.269, 288.15
