Date, Close/Last, Volume, Open, High, Low
01/29/2021, 137.05, 2091611, 139.08, 139.239, 136.59
01/28/2021, 139.77, 1556829, 138.71, 141.17, 138.6
01/27/2021, 137.72, 1744286, 140, 140.04, 137.11
01/26/2021, 141.21, 1053008, 141.88, 141.95, 141.12
01/25/2021, 141.45, 1369449, 140.79, 141.5387, 140.01
01/22/2021, 140.97, 1138352, 141.22, 141.6197, 140.8
01/21/2021, 141.56, 1130954, 142, 142.06, 141.474
01/20/2021, 142.01, 1313632, 141.56, 142.335, 141.08
01/19/2021, 141.08, 1583768, 141.53, 141.85, 140.86
01/15/2021, 140.75, 1406689, 140.75, 141.32, 139.8699
01/14/2021, 141.3, 1607695, 142.51, 142.5939, 141.1788
01/13/2021, 142.11, 1225930, 142.2, 142.715, 141.8
01/12/2021, 142.31, 1289961, 142.44, 142.68, 141.66
01/11/2021, 142.42, 1742322, 142.07, 142.95, 142.07
01/08/2021, 142.85, 1705590, 142.75, 143.04, 141.55
01/07/2021, 142.35, 1415595, 141.99, 142.73, 141.529
01/06/2021, 141.48, 1871345, 139.27, 142.3566, 139.24
01/05/2021, 139.72, 1376893, 139.12, 140.055, 138.52
01/04/2021, 139.27, 2701057, 141.61, 141.65, 137.93
12/31/2020, 141.17, 996494, 140.31, 141.4, 139.94
12/30/2020, 140.2, 991303, 140.02, 140.69, 140.02
12/29/2020, 139.76, 1460192, 140.69, 140.7947, 139.29
12/28/2020, 140.07, 1328420, 140.06, 140.48, 139.83
12/24/2020, 139.23, 980912, 138.98, 139.23, 138.61
12/23/2020, 138.55, 2587133, 138.99, 139.433, 138.47
12/22/2020, 138.61, 1810858, 138.9, 139.0186, 138.266
12/21/2020, 139.05, 1876879, 138.56, 139.46, 137.0502
12/18/2020, 140.69, 1102969, 141, 141.02, 139.78
12/17/2020, 140.81, 1086520, 140.37, 140.82, 140.35
12/16/2020, 139.65, 1311964, 139.82, 140.05, 139.32
12/15/2020, 139.71, 1220205, 138.98, 139.92, 138.65
12/14/2020, 137.96, 1206015, 139.71, 140.08, 137.92
12/11/2020, 138.74, 1208633, 137.96, 138.96, 137.84
12/10/2020, 138.27, 1000642, 138.7, 138.94, 137.94
12/09/2020, 139.06, 1522234, 139.95, 140.05, 138.62
12/08/2020, 139.53, 1224567, 138.55, 139.8001, 138.463
12/07/2020, 139.16, 1246912, 139.6, 139.62, 138.62
12/04/2020, 139.81, 1151357, 138.86, 139.81, 138.79
12/03/2020, 138.52, 1465386, 138.84, 139.25, 138.17
12/02/2020, 138.92, 1374154, 138.96, 139.2092, 138.43
12/01/2020, 139.33, 1735496, 139.68, 140.19, 139.08
11/30/2020, 138.36, 1810183, 138.33, 138.48, 137.345
11/27/2020, 138.7, 715735, 138.91, 139.02, 138.34
11/25/2020, 138.54, 1608208, 138.97, 138.97, 138.13
11/24/2020, 139.11, 1657932, 138.42, 139.42, 138.0883
11/23/2020, 137.31, 1187737, 137.11, 137.68, 136.3
11/20/2020, 136.44, 839661, 137.13, 137.417, 136.37
11/19/2020, 137.18, 1065599, 136.66, 137.34, 136.01
11/18/2020, 136.82, 1569131, 138.63, 138.86, 136.81
11/17/2020, 138.44, 1375937, 138.51, 138.97, 137.87
11/16/2020, 139.51, 1628576, 139.35, 139.55, 138.37
11/13/2020, 137.81, 1278842, 136.9, 138.05, 136.7
11/12/2020, 135.96, 1160302, 136.86, 136.9601, 135.19
11/11/2020, 137.18, 2112210, 137.73, 137.82, 136.69
11/10/2020, 136.78, 1413878, 136.01, 137.11, 135.38
11/09/2020, 135.81, 2486821, 140.51, 140.51, 135.76
11/06/2020, 134.26, 973444, 133.76, 134.79, 133.45
11/05/2020, 133.98, 1551856, 133.99, 134.99, 133.511
11/04/2020, 131.81, 1322858, 131.34, 133.87, 131.07
11/03/2020, 130.19, 1150978, 129.21, 131.03, 129.1
11/02/2020, 127.61, 1521854, 127.44, 128.45, 126.57
10/30/2020, 125.74, 1576429, 125.93, 126.56, 124.14
10/29/2020, 126.44, 1459563, 125.67, 127.7, 124.72
10/28/2020, 125.82, 2092452, 127.46, 128.1817, 125.65
10/27/2020, 129.66, 977711, 130.83, 130.9091, 129.66
10/26/2020, 130.68, 1476841, 131.76, 131.835, 129.3131
10/23/2020, 133.14, 849571, 133.23, 133.29, 132.35
10/22/2020, 132.65, 966204, 132.31, 132.964, 131.6532
